instruction,extension,isa_bases,evidence_kind,asm_occurrences,hdl_occurrences,core_hits,tests_hits,vendor_hits,sample_files
divu,M,RV32;RV64,hdl,0,26,26,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
fence,I,RV32;RV64,asm;hdl,5,21,23,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/boom/src/main/scala/v4/lsu/mshrs.scala;software/baremetal-ide/driver/htif/atomic.h;software/baremetal-ide/platform/qemuvirt/boot/startup.S
remu,M,RV32;RV64,hdl,0,26,26,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
mulh,M,RV32;RV64,hdl,0,25,25,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
mulhsu,M,RV32;RV64,hdl,0,25,25,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
mulhu,M,RV32;RV64,hdl,0,25,25,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/system/RocketTestSuite.scala
addw,I,RV64,hdl,0,23,23,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/devices/debug/Debug.scala
ebreak,I,RV32;RV64,asm;hdl,3,20,21,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/scripts/debug_rom/debug_rom.S;software/firemarshal/boards/firechip/base-workloads/br-base/trigger/end.S;software/firemarshal/boards/firechip/base-workloads/br-base/trigger/start.S
sraiw,I,RV64,hdl,0,23,23,0,0,generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/common/consts.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/shuttle/src/main/scala/common/Consts.scala
addiw,I,RV64,hdl,0,22,22,0,0,generators/boom/src/main/scala/v3/common/consts.scala;generators/boom/src/main/scala/v3/exu/decode.scala;generators/boom/src/main/scala/v3/exu/register-read/func-unit-decode.scala;generators/boom/src/main/scala/v4/exu/decode.scala;generators/rocket-chip/src/main/scala/devices/debug/Debug.scala
